Date,Price,Open,High,Low,Volume,Change(%)
29-07-2022,1164.449951,1158.800049,1184.199951,1153.25,2230572,0.485199213
01-08-2022,1237.75,1189.400024,1248.699951,1184.25,12673841,3.90627962
02-08-2022,1254.5,1237.699951,1259.75,1226.199951,5626351,1.339182862
03-08-2022,1253.699951,1259.949951,1259.949951,1231,3820503,-0.498524387
04-08-2022,1261.800049,1264.900024,1265,1239.050049,3075648,-0.245678783
05-08-2022,1235.900024,1278.199951,1278.5,1231.25,5766297,-3.422601034
08-08-2022,1276.699951,1245,1280,1242.650024,5412651,2.482960149
10-08-2022,1268.050049,1277,1279.699951,1260.25,2530492,-0.705804239
11-08-2022,1266.199951,1277,1278.949951,1254,3077633,-0.852949725
12-08-2022,1259.449951,1265,1268.900024,1249.300049,3355489,-0.440672454
16-08-2022,1288.300049,1280.599976,1298.699951,1274.650024,4085782,0.597692518
17-08-2022,1274.25,1294,1294,1270.050049,2197165,-1.549931332
18-08-2022,1261.150024,1274,1278.349976,1254.699951,2659857,-1.018909389
19-08-2022,1239.400024,1270,1272.650024,1235.5,2513148,-2.468934598
22-08-2022,1226.699951,1239.400024,1247.400024,1219.050049,2443323,-1.035303946
23-08-2022,1273.099976,1219.949951,1277,1218,4449168,4.174850837
24-08-2022,1268.300049,1274.949951,1283.5,1261,2570071,-0.524316151
25-08-2022,1259.650024,1274,1277.449951,1256.699951,1769049,-1.139203408
26-08-2022,1274.650024,1279.900024,1299,1268.800049,4325600,-0.411877763
29-08-2022,1276.800049,1249,1280.800049,1242.150024,2554692,2.17732205
30-08-2022,1308.699951,1284,1315,1284,5078317,1.887365471
01-09-2022,1312.050049,1280,1325.699951,1280,4913035,2.442745917
02-09-2022,1315.949951,1318.650024,1330.650024,1311.199951,2316436,-0.205180524
05-09-2022,1320.550049,1319,1324.449951,1301.099976,2271837,0.117379042
06-09-2022,1306.400024,1325,1327,1300.599976,1930221,-1.423758088
07-09-2022,1289.699951,1291,1311.949951,1281.199951,3162428,-0.100802439
08-09-2022,1321.900024,1305,1331.949951,1302,4026323,1.278464611
